id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-220838,low,Turning off File Explorer heap termination on corruption must be disabled.,Legacy plug-in applications may continue to function when a File Explorer session has become corrupt.  Disabling this feature will prevent this.,None,SV-220838r569187_rule,F-22542r555000_fix,"The default behavior is for File Explorer heap termination on corruption to be enabled.

If this needs to be corrected, configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> File Explorer >> ""Turn off heap termination on corruption"" to ""Not Configured"" or ""Disabled"".",C-22553r554999_chk,"The default behavior is for File Explorer heap termination on corruption to be enabled.

If the registry Value Name below does not exist, this is not a finding.

If it exists and is configured with a value of ""0"", this is not a finding.

If it exists and is configured with a value of ""1"", this is a finding.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\Explorer\

Value Name: NoHeapTerminationOnCorruption

Value Type: REG_DWORD
Value: 0x00000000 (0) (or if the Value Name does not exist)"
V-220773,medium,The system must be configured to audit System - Other System Events successes.,"Maintaining an audit trail of system activity logs can help identify configuration errors, troubleshoot service disruptions, and analyze compromises that have occurred, as well as detect attacks. Audit logs are necessary to provide a trail of evidence in case the system or network is compromised. Collecting this data is essential for analyzing the security of information assets and detecting signs of suspicious and unexpected behavior.

Audit Other System Events records information related to cryptographic key operations and the Windows Firewall service.",None,SV-220773r569187_rule,F-22477r554805_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Advanced Audit Policy Configuration >> System Audit Policies >> System >> ""Audit Other System Events"" with ""Success"" selected.",C-22488r554804_chk,"Security Option ""Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings"" must be set to ""Enabled"" (WN10-SO-000030) for the detailed auditing subcategories to be effective. 

Use the AuditPol tool to review the current Audit Policy configuration:
Open a Command Prompt with elevated privileges (""Run as Administrator"").
Enter ""AuditPol /get /category:*""

Compare the AuditPol settings with the following.  If the system does not audit the following, this is a finding:

System >> Other System Events - Success"
V-220772,medium,The system must be configured to audit System - IPSec Driver failures.,"Maintaining an audit trail of system activity logs can help identify configuration errors, troubleshoot service disruptions, and analyze compromises that have occurred, as well as detect attacks.  Audit logs are necessary to provide a trail of evidence in case the system or network is compromised.  Collecting this data is essential for analyzing the security of information assets and detecting signs of suspicious and unexpected behavior.

IPSec Driver records events related to the IPSec Driver such as dropped packets.",None,SV-220772r569187_rule,F-22476r554802_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Advanced Audit Policy Configuration >> System Audit Policies >> System >> ""Audit IPSec Driver"" with ""Failure"" selected.",C-22487r554801_chk,"Security Option ""Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings"" must be set to ""Enabled"" (WN10-SO-000030) for the detailed auditing subcategories to be effective.

Use the AuditPol tool to review the current Audit Policy configuration:
Open a Command Prompt with elevated privileges (""Run as Administrator"").
Enter ""AuditPol /get /category:*"".

Compare the AuditPol settings with the following.  If the system does not audit the following, this is a finding:

System >> IPSec Driver - Failure"
V-220825,low,The setting to allow Microsoft accounts to be optional for modern style apps must be enabled.,"Control of credentials and the system must be maintained within the enterprise.  Enabling this setting allows enterprise credentials to be used with modern style apps that support this, instead of Microsoft accounts.",None,SV-220825r569187_rule,F-22529r554961_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> App Runtime >> ""Allow Microsoft accounts to be optional"" to ""Enabled"".",C-22540r554960_chk,"Windows 10 LTSC\B versions do not support the Microsoft Store and modern apps; this is NA for those systems.

If the following registry value does not exist or is not configured as specified, this is a finding.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\

Value Name: MSAOptional

Value Type: REG_DWORD
Value: 0x00000001 (1)"
V-220824,medium,Unauthenticated RPC clients must be restricted from connecting to the RPC server.,Configuring RPC to restrict unauthenticated RPC clients from connecting to the RPC server will prevent anonymous connections.,None,SV-220824r569187_rule,F-22528r554958_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> System >> Remote Procedure Call >> ""Restrict Unauthenticated RPC clients"" to ""Enabled"" and ""Authenticated"".",C-22539r554957_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows NT\Rpc\

Value Name: RestrictRemoteClients

Value Type: REG_DWORD
Value: 1"
V-220719,medium,Simple Network Management Protocol (SNMP) must not be installed on the system.,"Some protocols and services do not support required security features, such as encrypting passwords or traffic.",None,SV-220719r569187_rule,F-22423r554643_fix,"Uninstall ""Simple Network Management Protocol (SNMP)"" from the system.

Run ""Programs and Features"".
Select ""Turn Windows Features on or off"".
De-select ""Simple Network Management Protocol (SNMP)"".",C-22434r554642_chk,"""SNMP"" is not installed by default.  Verify it has not been installed.

Navigate to the Windows\System32 directory.

If the ""SNMP"" application exists, this is a finding."
V-220718,high,Internet Information System (IIS) or its subcomponents must not be installed on a workstation.,Installation of Internet Information System (IIS) may allow unauthorized internet services to be hosted.  Websites must only be hosted on servers that have been designed for that purpose and can be adequately secured.,None,SV-220718r569187_rule,F-22422r554640_fix,"Uninstall ""Internet Information Services"" or ""Internet Information Services Hostable Web Core"" from the system.",C-22433r554639_chk,"IIS is not installed by default.  Verify it has not been installed on the system.

Run ""Programs and Features"".
Select ""Turn Windows features on or off"".

If the entries for ""Internet Information Services"" or ""Internet Information Services Hostable Web Core"" are selected, this is a finding.

If an application requires IIS or a subset to be installed to function, this needs be documented with the ISSO.  In addition, any applicable requirements from the IIS STIG must be addressed."
V-220821,medium,Users must be prompted for a password on resume from sleep (on battery).,Authentication must always be required when accessing a system.  This setting ensures the user is prompted for a password on resume from sleep (on battery).,None,SV-220821r569187_rule,F-22525r554949_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> System >> Power Management >> Sleep Settings >> ""Require a password when a computer wakes (on battery)"" to ""Enabled"".",C-22536r554948_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51\

Value Name: DCSettingIndex

Value Type: REG_DWORD
Value: 1"
V-220820,medium,Local users on domain-joined computers must not be enumerated.,The username is one part of logon credentials that could be used to gain access to a system.  Preventing the enumeration of users limits this information to authorized personnel.,None,SV-220820r569187_rule,F-22524r554946_fix,"This requirement is applicable to domain-joined systems, for standalone systems this is NA.

Configure the policy value for Computer Configuration >> Administrative Templates >> System >> Logon >> ""Enumerate local users on domain-joined computers"" to ""Disabled"".",C-22535r554945_chk,"This requirement is applicable to domain-joined systems, for standalone systems this is NA.

If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\System\

Value Name: EnumerateLocalUsers

Value Type: REG_DWORD
Value: 0"
V-220823,high,Solicited Remote Assistance must not be allowed.,Remote assistance allows another user to view or take control of the local session of a user.  Solicited assistance is help that is specifically requested by the local user.  This may allow unauthorized parties access to the resources on the computer.,None,SV-220823r569187_rule,F-22527r554955_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> System >> Remote Assistance >> ""Configure Solicited Remote Assistance"" to ""Disabled"".",C-22538r554954_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services\

Value Name: fAllowToGetHelp
 
Value Type: REG_DWORD
Value: 0"
V-220822,medium,The user must be prompted for a password on resume from sleep (plugged in).,Authentication must always be required when accessing a system.  This setting ensures the user is prompted for a password on resume from sleep (plugged in).,None,SV-220822r569187_rule,F-22526r554952_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> System >> Power Management >> Sleep Settings >> ""Require a password when a computer wakes (plugged in)"" to ""Enabled"".",C-22537r554951_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51\

Value Name: ACSettingIndex

Value Type: REG_DWORD
Value: 1"
V-220713,medium,Only accounts responsible for the backup operations must be members of the Backup Operators group.,"Backup Operators are able to read and write to any file in the system, regardless of the rights assigned to it.  Backup and restore rights permit users to circumvent the file access restrictions present on NTFS disk drives for backup and restore purposes.  Members of the Backup Operators group must have separate logon accounts for performing backup duties.",None,SV-220713r569187_rule,F-22417r554625_fix,Create separate accounts for backup operations for users with this privilege.,C-22428r554624_chk,"Run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Groups.
Review the members of the Backup Operators group.

If the group contains no accounts, this is not a finding.

If the group contains any accounts, the accounts must be specifically for backup functions.

If the group contains any standard user accounts used for performing normal user tasks, this is a finding."
V-220712,high,Only accounts responsible for the administration of a system must have Administrator rights on the system.,"An account that does not have Administrator duties must not have Administrator rights.  Such rights would allow the account to bypass or modify required security restrictions on that machine and make it vulnerable to attack.

System administrators must log on to systems only using accounts with the minimum level of authority necessary.

For domain-joined workstations, the Domain Admins group must be replaced by a domain workstation administrator group (see V-36434 in the Active Directory Domain STIG).  Restricting highly privileged accounts from the local Administrators group helps mitigate the risk of privilege escalation resulting from credential theft attacks.

Standard user accounts must not be members of the local administrators group.",None,SV-220712r569187_rule,F-22416r554622_fix,"Configure the system to include only administrator groups or accounts that are responsible for the system in the local Administrators group.

For domain-joined workstations, the Domain Admins group must be replaced by a domain workstation administrator group.

Remove any standard user accounts.",C-22427r554621_chk,"Run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Groups.
Review the members of the Administrators group.
Only the appropriate administrator groups or accounts responsible for administration of the system may be members of the group.

For domain-joined workstations, the Domain Admins group must be replaced by a domain workstation administrator group.

Standard user accounts must not be members of the local administrator group.

If prohibited accounts are members of the local administrators group, this is a finding.

The built-in Administrator account or other required administrative accounts would not be a finding."
V-220711,low,Unused accounts must be disabled or removed from the system after 35 days of inactivity.,"Outdated or unused accounts provide penetration points that may go undetected.  Inactive accounts must be deleted if no longer necessary or, if still required, disable until needed.",None,SV-220711r569187_rule,F-22415r554619_fix,Regularly review local accounts and verify their necessity.  Disable or delete any active accounts that have not been used in the last 35 days.,C-22426r554618_chk,"Run ""PowerShell"".
Copy the lines below to the PowerShell window and enter.

""([ADSI]('WinNT://{0}' -f $env:COMPUTERNAME)).Children | Where { $_.SchemaClassName -eq 'user' } | ForEach {
   $user = ([ADSI]$_.Path)
   $lastLogin = $user.Properties.LastLogin.Value
   $enabled = ($user.Properties.UserFlags.Value -band 0x2) -ne 0x2
   if ($lastLogin -eq $null) {
      $lastLogin = 'Never'
   }
   Write-Host $user.Name $lastLogin $enabled 
}""

This will return a list of local accounts with the account name, last logon, and if the account is enabled (True/False).
For example: User1  10/31/2015  5:49:56  AM  True

Review the list to determine the finding validity for each account reported.

Exclude the following accounts:
Built-in administrator account (Disabled, SID ending in 500)
Built-in guest account (Disabled, SID ending in 501)
Built-in DefaultAccount (Disabled, SID ending in 503)
Local administrator account

If any enabled accounts have not been logged on to within the past 35 days, this is a finding.

Inactive accounts that have been reviewed and deemed to be required must be documented with the ISSO."
V-220710,medium,Non system-created file shares on a system must limit access to groups that require it.,"Shares which provide network access, should not typically exist on a workstation except for system-created administrative shares, and could potentially expose sensitive information.  If a share is necessary, share permissions, as well as NTFS permissions, must be reconfigured to give the minimum access to those accounts that require it.",None,SV-220710r569187_rule,F-22414r554616_fix,"If a non system-created share is required on a system, configure the share and NTFS permissions to limit access to the specific groups or accounts that require it.

Remove any unnecessary non-system created shares.",C-22425r554615_chk,"Non system-created shares should not typically exist on workstations.

If only system-created shares exist on the system this is NA.

Run ""Computer Management"".
Navigate to System Tools >> Shared Folders >> Shares.

If the only shares listed are ""ADMIN$"", ""C$"" and ""IPC$"", this is NA.
(Selecting Properties for system-created shares will display a message that it has been shared for administrative purposes.)

Right click any non-system-created shares.
Select ""Properties"".
Select the ""Share Permissions"" tab.

Verify the necessity of any shares found.
If the file shares have not been reconfigured to restrict permissions to the specific groups or accounts that require access, this is a finding.

Select the ""Security"" tab.

If the NTFS permissions have not been reconfigured to restrict permissions to the specific groups or accounts that require access, this is a finding."
V-220717,medium,Permissions for system files and directories must conform to minimum requirements.,Changing the system's file and directory permissions allows the possibility of unauthorized and anonymous modification to the operating system and installed applications.,None,SV-220717r569187_rule,F-22421r554637_fix,"Maintain the default file system permissions and configure the Security Option: ""Network access: Let everyone permissions apply to anonymous users"" to ""Disabled"" (WN10-SO-000160).",C-22432r554636_chk,"The default file system permissions are adequate when the Security Option ""Network access: Let Everyone permissions apply to anonymous users"" is set to ""Disabled"" (WN10-SO-000160).

If the default file system permissions are maintained and the referenced option is set to ""Disabled"", this is not a finding.

Verify the default permissions for the sample directories below. Non-privileged groups such as Users or Authenticated Users must not have greater than Read & execute permissions except where noted as defaults. (Individual accounts must not be used to assign permissions.)

Viewing in File Explorer:
Select the ""Security"" tab, and the ""Advanced"" button.

C:\
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
Administrators - Full control - This folder, subfolders and files
SYSTEM - Full control - This folder, subfolders and files
Users - Read & execute - This folder, subfolders and files
Authenticated Users - Modify - Subfolders and files only
Authenticated Users - Create folders / append data - This folder only

\Program Files
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
TrustedInstaller - Full control - This folder and subfolders
SYSTEM - Modify - This folder only
SYSTEM - Full control - Subfolders and files only
Administrators - Modify - This folder only
Administrators - Full control - Subfolders and files only
Users - Read & execute - This folder, subfolders and files
CREATOR OWNER - Full control - Subfolders and files only
ALL APPLICATION PACKAGES - Read & execute - This folder, subfolders and files
ALL RESTRICTED APPLICATION PACKAGES - Read & execute - This folder, subfolders and files

\Windows
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
TrustedInstaller - Full control - This folder and subfolders
SYSTEM - Modify - This folder only
SYSTEM - Full control - Subfolders and files only
Administrators - Modify - This folder only
Administrators - Full control - Subfolders and files only
Users - Read & execute - This folder, subfolders and files
CREATOR OWNER - Full control - Subfolders and files only
ALL APPLICATION PACKAGES - Read & execute - This folder, subfolders and files
ALL RESTRICTED APPLICATION PACKAGES - Read & execute - This folder, subfolders and files

Alternately use icacls.

Run ""CMD"" as administrator.
Enter ""icacls"" followed by the directory.

icacls c:\
icacls ""c:\program files""
icacls c:\windows

The following results will be displayed as each is entered:

c:\
BUILTIN\Administrators:(OI)(CI)(F)
NT AUTHORITY\SYSTEM:(OI)(CI)(F)
BUILTIN\Users:(OI)(CI)(RX)
NT AUTHORITY\Authenticated Users:(OI)(CI)(IO)(M)
NT AUTHORITY\Authenticated Users:(AD)
Mandatory Label\High Mandatory Level:(OI)(NP)(IO)(NW)
Successfully processed 1 files; Failed processing 0 files

c:\program files 
NT SERVICE\TrustedInstaller:(F)
NT SERVICE\TrustedInstaller:(CI)(IO)(F)
NT AUTHORITY\SYSTEM:(M)
NT AUTHORITY\SYSTEM:(OI)(CI)(IO)(F)
BUILTIN\Administrators:(M)
BUILTIN\Administrators:(OI)(CI)(IO)(F)
BUILTIN\Users:(RX)
BUILTIN\Users:(OI)(CI)(IO)(GR,GE)
CREATOR OWNER:(OI)(CI)(IO)(F)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
Successfully processed 1 files; Failed processing 0 files

c:\windows
NT SERVICE\TrustedInstaller:(F)
NT SERVICE\TrustedInstaller:(CI)(IO)(F)
NT AUTHORITY\SYSTEM:(M)
NT AUTHORITY\SYSTEM:(OI)(CI)(IO)(F)
BUILTIN\Administrators:(M)
BUILTIN\Administrators:(OI)(CI)(IO)(F)
BUILTIN\Users:(RX)
BUILTIN\Users:(OI)(CI)(IO)(GR,GE)
CREATOR OWNER:(OI)(CI)(IO)(F)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(RX)
APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES:(OI)(CI)(IO)(GR,GE)
Successfully processed 1 files; Failed processing 0 files"
V-220828,high,The default autorun behavior must be configured to prevent autorun commands.,Allowing autorun commands to execute may introduce malicious code to a system.  Configuring this setting prevents autorun commands from executing.,None,SV-220828r569187_rule,F-22532r554970_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> AutoPlay Policies >> ""Set the default behavior for AutoRun"" to ""Enabled:Do not execute any autorun commands"".",C-22543r554969_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\

Value Name: NoAutorun

Value Type: REG_DWORD
Value: 1"
V-220715,low,Standard local user accounts must not exist on a system in a domain.,"To minimize potential points of attack, local user accounts, other than built-in accounts and local administrator accounts, must not exist on a workstation in a domain.  Users must log onto workstations in a domain with their domain accounts.",None,SV-220715r569187_rule,F-22419r554631_fix,Limit local user accounts on domain-joined systems.  Remove any unauthorized local accounts.,C-22430r554630_chk,"Run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Users.

If local users other than the accounts listed below exist on a workstation in a domain, this is a finding.

Built-in Administrator account (Disabled)
Built-in Guest account (Disabled)
Built-in DefaultAccount (Disabled)
Built-in defaultuser0 (Disabled)
Built-in WDAGUtilityAccount (Disabled)
Local administrator account(s)

All of the built-in accounts may not exist on a system, depending on the Windows 10 version."
V-220714,medium,Only authorized user accounts must be allowed to create or run virtual machines on Windows 10 systems.,"Allowing other operating systems to run on a secure system may allow users to circumvent security. For Hyper-V, preventing unauthorized users from being assigned to the Hyper-V Administrators group will prevent them from accessing or creating virtual machines on the system. The Hyper-V Hypervisor is used by Virtualization Based Security features such as Credential Guard on Windows 10; however, it is not the full Hyper-V installation.",None,SV-220714r569187_rule,F-22418r554628_fix,"For Hyper-V, remove any unauthorized groups or user accounts from the ""Hyper-V Administrators"" group.

For hosted hypervisors other than Hyper-V, restrict access to create or run virtual machines to authorized user accounts only.",C-22429r554627_chk,"If a hosted hypervisor (Hyper-V, VMware Workstation, etc.) is installed on the system, verify only authorized user accounts are allowed to run virtual machines.

For Hyper-V, Run ""Computer Management"".
Navigate to System Tools >> Local Users and Groups >> Groups.
Double click on ""Hyper-V Administrators"".

If any unauthorized groups or user accounts are listed in ""Members:"", this is a finding.

For hosted hypervisors other than Hyper-V, verify only authorized user accounts have access to run the virtual machines. Restrictions may be enforced by access to the physical system, software restriction policies, or access restrictions built in to the application.

If any unauthorized groups or user accounts have access to create or run virtual machines, this is a finding.

All users authorized to create or run virtual machines must be documented with the ISSM/ISSO. Accounts nested within group accounts must be documented as individual accounts and not the group accounts."
V-220906,medium,The US DoD CCEB Interoperability Root CA cross-certificates must be installed in the Untrusted Certificates Store on unclassified systems.,"To ensure users do not experience denial of service when performing certificate-based authentication to DoD websites due to the system chaining to a root other than DoD Root CAs, the US DoD CCEB Interoperability Root CA cross-certificates must be installed in the Untrusted Certificate Store. This requirement only applies to unclassified systems.",None,SV-220906r569316_rule,F-22610r569315_fix,"Install the US DoD CCEB Interoperability Root CA cross-certificate on unclassified systems.

Issued To - Issued By - Thumbprint
DoD Root CA 3 - US DoD CCEB Interoperability Root CA 2 - AF132AC65DE86FC4FB3FE51FD637EBA0FF0B12A9

The certificates can be installed using the InstallRoot tool. The tool and user guide are available on Cyber Exchange at https://cyber.mil/pki-pke/tools-configuration-files.",C-22621r569212_chk,"Verify the US DoD CCEB Interoperability Root CA cross-certificate is installed on unclassified systems as an Untrusted Certificate.

Run ""PowerShell"" as an administrator.

Execute the following command:

Get-ChildItem -Path Cert:Localmachine\disallowed | Where Issuer -Like ""*CCEB Interoperability*"" | FL Subject, Issuer, Thumbprint, NotAfter

If the following certificate ""Subject"", ""Issuer"", and ""Thumbprint"", information is not displayed, this is a finding. 

Subject: CN=DoD Root CA 3, OU=PKI, OU=DoD, O=U.S. Government, C=US
Issuer: CN=US DoD CCEB Interoperability Root CA 2, OU=PKI, OU=DoD, O=U.S.Government, C=US
Thumbprint: AF132AC65DE86FC4FB3FE51FD637EBA0FF0B12A9
NotAfter: 8/26/2022 9:07:50 AM

Alternately use the Certificates MMC snap-in:

Run ""MMC"".

Select ""File"", ""Add/Remove Snap-in"".

Select ""Certificates"", click ""Add"".

Select ""Computer account"", click ""Next"".

Select ""Local computer: (the computer this console is running on)"", click ""Finish"".

Click ""OK"".

Expand ""Certificates"" and navigate to ""Untrusted Certificates >> Certificates"".

For each certificate with ""US DoD CCEB Interoperability Root CA …"" under ""Issued By"":

Right-click on the certificate and select ""Open"".

Select the ""Details"" tab.

Scroll to the bottom and select ""Thumbprint"".

If the certificate below is not listed or the value for the ""Thumbprint"" field is not as noted, this is a finding.

Subject: CN=DoD Root CA 3, OU=PKI, OU=DoD, O=U.S. Government, C=US
Issuer: CN=US DoD CCEB Interoperability Root CA 2, OU=PKI, OU=DoD, O=U.S.Government, C=US
Thumbprint: AF132AC65DE86FC4FB3FE51FD637EBA0FF0B12A9
NotAfter: 8/26/2022 9:07:50 AM"
V-220907,medium,Default permissions for the HKEY_LOCAL_MACHINE registry hive must be maintained.,"The registry is integral to the function, security, and stability of the Windows system.  Changing the system's registry permissions allows the possibility of unauthorized and anonymous modification to the operating system.",None,SV-220907r569187_rule,F-22611r555207_fix,"Maintain the default permissions for the HKEY_LOCAL_MACHINE registry hive.

The default permissions of the higher level keys are noted below.

HKEY_LOCAL_MACHINE\SECURITY
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
SYSTEM - Full Control - This key and subkeys
Administrators - Special - This key and subkeys

HKEY_LOCAL_MACHINE\SOFTWARE
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
Users - Read - This key and subkeys
Administrators - Full Control - This key and subkeys
SYSTEM - Full Control - This key and subkeys
CREATOR OWNER - Full Control - This key and subkeys
ALL APPLICATION PACKAGES - Read - This key and subkeys

HKEY_LOCAL_MACHINE\SYSTEM
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
Users - Read - This key and subkeys
Administrators - Full Control - This key and subkeys
SYSTEM - Full Control - This key and subkeys
CREATOR OWNER - Full Control - This key and subkeys
ALL APPLICATION PACKAGES - Read - This key and subkeys

Microsoft has also given Read permission to the SOFTWARE and SYSTEM registry keys in later versions of Windows 10 to the following SID.

S-1-15-3-1024-1065365936-1281604716-3511738428-1654721687-432734479-3232135806-4053264122-3456934681",C-22622r555206_chk,"Verify the default registry permissions for the keys note below of the HKEY_LOCAL_MACHINE hive.

If any non-privileged groups such as Everyone, Users or Authenticated Users have greater than Read permission, this is a finding.

Run ""Regedit"".
Right click on the registry areas noted below.
Select ""Permissions..."" and the ""Advanced"" button.

HKEY_LOCAL_MACHINE\SECURITY
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
SYSTEM - Full Control - This key and subkeys
Administrators - Special - This key and subkeys

HKEY_LOCAL_MACHINE\SOFTWARE
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
Users - Read - This key and subkeys
Administrators - Full Control - This key and subkeys
SYSTEM - Full Control - This key and subkeys
CREATOR OWNER - Full Control - This key and subkeys
ALL APPLICATION PACKAGES - Read - This key and subkeys

HKEY_LOCAL_MACHINE\SYSTEM
Type - ""Allow"" for all
Inherited from - ""None"" for all
Principal - Access - Applies to
Users - Read - This key and subkeys
Administrators - Full Control - This key and subkeys
SYSTEM - Full Control - This key and subkeys
CREATOR OWNER - Full Control - This key and subkeys
ALL APPLICATION PACKAGES - Read - This key and subkeys

Other subkeys under the noted keys may also be sampled. There may be some instances where non-privileged groups have greater than Read permission.

Microsoft has given Read permission to the SOFTWARE and SYSTEM registry keys in later versions of Windows 10 to the following SID, this is currently not a finding.

S-1-15-3-1024-1065365936-1281604716-3511738428-1654721687-432734479-3232135806-4053264122-3456934681

If the defaults have not been changed, these are not a finding."
V-220904,medium,The External Root CA certificates must be installed in the Trusted Root Store on unclassified systems.,"To ensure secure websites protected with External Certificate Authority (ECA) server certificates are properly validated, the system must trust the ECA Root CAs. The ECA root certificates will ensure the trust chain is established for server certificates issued from the External CAs. This requirement only applies to unclassified systems.",None,SV-220904r569312_rule,F-22608r569311_fix,"Install the ECA Root CA certificates on unclassified systems.
ECA Root CA 2
ECA Root CA 4

The InstallRoot tool is available on Cyber Exchange at https://cyber.mil/pki-pke/tools-configuration-files.",C-22619r569206_chk,"Verify the ECA Root CA certificates are installed on unclassified systems as Trusted Root Certification Authorities.

Run ""PowerShell"" as an administrator.

Execute the following command:

Get-ChildItem -Path Cert:Localmachine\root | Where Subject -Like ""*ECA*"" | FL Subject, Thumbprint, NotAfter

If the following certificate ""Subject"" and ""Thumbprint"" information is not displayed, this is a finding. 

Subject: CN=ECA Root CA 2, OU=ECA, O=U.S. Government, C=US
Thumbprint: C313F919A6ED4E0E8451AFA930FB419A20F181E4
NotAfter: 3/30/2028

Subject: CN=ECA Root CA 4, OU=ECA, O=U.S. Government, C=US
Thumbprint: 73E8BB08E337D6A5A6AEF90CFFDD97D9176CB582
NotAfter: 12/30/2029

Alternately use the Certificates MMC snap-in:

Run ""MMC"".

Select ""File"", ""Add/Remove Snap-in"".

Select ""Certificates"", click ""Add"".

Select ""Computer account"", click ""Next"".

Select ""Local computer: (the computer this console is running on)"", click ""Finish"".

Click ""OK"".

Expand ""Certificates"" and navigate to ""Trusted Root Certification Authorities >> Certificates"".

For each of the ECA Root CA certificates noted below:

Right-click on the certificate and select ""Open"".

Select the ""Details"" Tab.

Scroll to the bottom and select ""Thumbprint"".

If the ECA Root CA certificates below are not listed or the value for the ""Thumbprint"" field is not as noted, this is a finding.

ECA Root CA 2
Thumbprint: C313F919A6ED4E0E8451AFA930FB419A20F181E4
Valid to: Thursday, March 30, 2028

ECA Root CA 4
Thumbprint: 73E8BB08E337D6A5A6AEF90CFFDD97D9176CB582
Valid to: Sunday, December 30, 2029"
